particle_id,x,y,z
2,14.717829,72.604454,98.461639
3,91.219574,43.261734,25.259087

1,0.047701,65.869949,30.118690
2,14.713212,72.605949,98.466759
3,91.223068,43.258179,25.256550

1,0.048772,65.872017,30.116064
2,14.708572,72.607468,98.471954
3,91.226639,43.254601,25.253981

1,0.049787,65.874084,30.113396
2,14.703910,72.609001,98.477226
3,91.230286,43.250999,25.251377

1,0.050749,65.876160,30.110683
2,14.699224,72.610550,98.482574
3,91.234009,43.247372,25.248741

1,0.051655,65.878242,30.107929
2,14.694517,72.612114,98.487999
3,91.237808,43.243721,25.246071

1,0.052506,65.880333,30.105131
2,14.689787,72.613693,98.493500
3,91.241684,43.240047,25.243368

1,0.053303,65.882431,30.102291
2,14.685034,72.615295,98.499077
3,91.245644,43.236351,25.240631

1,0.054045,65.884537,30.099407
2,14.680258,72.616913,98.504730
3,91.249680,43.232632,25.237862

1,0.054732,65.886650,30.096481
2,14.675459,72.618546,98.510460
3,91.253792,43.228889,25.235058

1,0.055365,65.888771,30.093512
2,14.670637,72.620193,98.516266
3,91.257980,43.225121,25.232222

1,0.055943,65.890892,30.090500
2,14.665793,72.621857,98.522148
3,91.262245,43.221329,25.229351

1,0.056466,65.893021,30.087444
2,14.660927,72.623543,98.528107
3,91.266586,43.217514,25.226448

1,0.056934,65.895157,30.084347
2,14.656037,72.625244,98.534142
3,91.271011,43.213676,25.223511

1,0.057347,65.897301,30.081207
2,14.651125,72.626961,98.540253
3,91.275513,43.209816,25.220541

1,0.057706,65.899452,30.078024
2,14.646190,72.628693,98.546440
3,91.280090,43.205929,25.217537

1,0.058010,65.901611,30.074799
2,14.641232,72.630447,98.552704
3,91.284744,43.202019,25.214500

1,0.058259,65.903778,30.071529
2,14.636251,72.632217,98.559044
3,91.289474,43.198086,25.211430

1,0.058454,65.905952,30.068218
2,14.631248,72.634003,98.565460
3,91.294281,43.194130,25.208326

1,0.058593,65.908134,30.064863
2,14.626223,72.635803,98.571953
3,91.299164,43.190151,25.205189

1,0.058679,65.910316,30.061466
2,14.621174,72.637619,98.578522
3,91.304131,43.186146,25.202019

1,0.058709,65.912506,30.058025
2,14.616102,72.639458,98.585167
3,91.309174,43.182117,25.198814

1,0.058685,65.914703,30.054543
2,14.611008,72.641312,98.591888
3,91.314293,43.178066,25.195578

1,0.058606,65.916908,30.051016
2,14.605890,72.643181,98.598686
3,91.319489,43.173992,25.192307

1,0.058472,65.919121,30.047447
2,14.600751,72.645065,98.605560
3,91.324760,43.169895,25.189003

1,0.058284,65.921341,30.043835
2,14.595589,72.646965,98.612511
3,91.330109,43.165771,25.185665

1,0.058041,65.923569,30.040180
2,14.590404,72.648888,98.619537
3,91.335541,43.161625,25.182295

1,0.057743,65.925804,30.036482
2,14.585196,72.650826,98.626640
3,91.341049,43.157455,25.178890

1,0.057390,65.928047,30.032742
2,14.579965,72.652779,98.633820
3,91.346634,43.153263,25.175453

1,0.056983,65.930290,30.028957
2,14.574711,72.654747,98.641075
3,91.352295,43.149044,25.171982

1,0.056522,65.932541,30.025131
2,14.569434,72.656738,98.648407
3,91.358032,43.144802,25.168478

1,0.056005,65.934799,30.021261
2,14.564135,72.658745,98.655815
3,91.363846,43.140537,25.164940

1,0.055434,65.937065,30.017349
2,14.558812,72.660767,98.663300
3,91.369736,43.136250,25.161369

1,0.054809,65.939339,30.013393
2,14.553467,72.662804,98.670860
3,91.375710,43.131939,25.157764

1,0.054128,65.941620,30.009396
2,14.548100,72.664856,98.678497
3,91.381760,43.127602,25.154127

1,0.053393,65.943909,30.005354
2,14.542709,72.666931,98.686211
3,91.387886,43.123241,25.150455

1,0.052604,65.946205,30.001270
2,14.537296,72.669022,98.694000
3,91.394089,43.118858,25.146751

1,0.051759,65.948509,29.997143
2,14.531860,72.671127,98.701866
3,91.400368,43.114452,25.143013

1,0.050861,65.950821,29.992973
2,14.526402,72.673248,98.709808
3,91.406723,43.110023,25.139242

1,0.049907,65.953133,29.988760
2,14.520920,72.675385,98.717827
3,91.413155,43.105568,25.135437

1,0.048899,65.955452,29.984505
2,14.515415,72.677544,98.725922
3,91.419670,43.101089,25.131599

1,0.047836,65.957779,29.980206
2,14.509888,72.679718,98.734093
3,91.426262,43.096588,25.127728

1,0.046719,65.960114,29.975864
2,14.504337,72.681908,98.742340
3,91.432930,43.092064,25.123823

1,0.045547,65.962456,29.971479
2,14.498764,72.684113,98.750664
3,91.439674,43.087513,25.119884

1,0.044321,65.964806,29.967052
2,14.493168,72.686340,98.759064
3,91.446495,43.082939,25.115913

1,0.043040,65.967163,29.962582
2,14.487549,72.688583,98.767540
3,91.453392,43.078342,25.111908

1,0.041704,65.969528,29.958069
2,14.481907,72.690842,98.776093
3,91.460373,43.073723,25.107870

1,0.040314,65.971901,29.953512
2,14.476242,72.693115,98.784721
3,91.467430,43.069080,25.103798

1,0.038869,65.974274,29.948914
2,14.470554,72.695404,98.793427
3,91.474564,43.064411,25.099693

1,0.037370,65.976654,29.944271
2,14.464844,72.697716,98.802208
3,91.481773,43.059719,25.095554

1,0.035816,65.979042,29.939587
2,14.459110,72.700043,98.811066
3,91.489059,43.055004,25.091383

1,0.034208,65.981438,29.934858
2,14.453354,72.702385,98.820000
3,91.496422,43.050266,25.087177

1,0.032545,65.983841,29.930088
2,14.447575,72.704742,98.829010
3,91.503860,43.045502,25.082939

1,0.030827,65.986252,29.925274
2,14.441772,72.707115,98.838097
3,91.511383,43.040714,25.078667

1,0.029055,65.988670,29.920418
2,14.435947,72.709511,98.847260
3,91.518982,43.035904,25.074362

1,0.027228,65.991096,29.915518
2,14.430099,72.711922,98.856499
3,91.526657,43.031071,25.070023

1,0.025347,65.993530,29.910576
2,14.424229,72.714348,98.865814
3,91.534409,43.026211,25.065651

1,0.023412,65.995972,29.905590
2,14.418335,72.716789,98.875206
3,91.542236,43.021328,25.061245

1,0.021421,65.998421,29.900562
2,14.412418,72.719246,98.884674
3,91.550140,43.016422,25.056807

1,0.019377,66.000870,29.895491
2,14.406479,72.721725,98.894218
3,91.558128,43.011494,25.052334

1,0.017277,66.003326,29.890375
2,14.400517,72.724220,98.903839
3,91.566193,43.006542,25.047829

1,0.015124,66.005791,29.885218
2,14.394531,72.726730,98.913536
3,91.574333,43.001564,25.043289

1,0.012915,66.008263,29.880016
2,14.388523,72.729256,98.923309
3,91.582550,42.996563,25.038717

1,0.010653,66.010742,29.874773
2,14.382492,72.731804,98.933159
3,91.590843,42.991539,25.034111

1,0.008335,66.013229,29.869486
2,14.376438,72.734367,98.943085
3,91.599213,42.986492,25.029472

1,0.005964,66.015724,29.864157
2,14.370361,72.736946,98.953087
3,91.607658,42.981419,25.024799

1,0.003538,66.018227,29.858784
2,14.364262,72.739540,98.963165
3,91.616188,42.976322,25.020094

1,0.001057,66.020737,29.853369
2,14.358139,72.742149,98.973320
3,91.624794,42.971203,25.015354

1,99.998520,66.023254,29.847910
2,14.351994,72.744781,98.983551
3,91.633476,42.966061,25.010582

1,99.996033,66.025810,29.842432
2,14.345779,72.747429,98.993843
3,91.642174,42.960861,25.005770

1,99.993599,66.028404,29.836933
2,14.339497,72.750092,99.004196
3,91.650887,42.955608,25.000917

1,99.991219,66.031036,29.831415
2,14.333145,72.752769,99.014610
3,91.659615,42.950298,24.996025

1,99.988892,66.033714,29.825876
2,14.326725,72.755463,99.025085
3,91.668365,42.944935,24.991093

1,99.986618,66.036430,29.820316
2,14.320236,72.758171,99.035614
3,91.677132,42.939514,24.986120

1,99.984390,66.039185,29.814737
2,14.313680,72.760895,99.046204
3,91.685913,42.934036,24.981108

1,99.982216,66.041977,29.809137
2,14.307055,72.763634,99.056854
3,91.694710,42.928505,24.976055

1,99.980095,66.044815,29.803518
2,14.300361,72.766388,99.067566
3,91.703529,42.922916,24.970963

